"Id","DateCreated","DateUpdated","Code","Description","CategoryId","DefaultPrice","BarCode","AgeRestricted","DateDeleted","ImagePath","GroupId","IsExternal","MeasurementUnit","TaxInformation_Cest","TaxInformation_ExTipi","TaxInformation_Ncm","TaxInformation_Origin","Discriminator","ConversionUnitName","ConversionUnitRatio","CreatorGroupId","DateStandardized","ShippingConversionUnitName","ShippingConversionUnitRatio","ParentProductId"
25,2025-10-10 12:29:33.435,2025-10-17 16:28:08.691,"7622210573933",BISC RECH TRAKINAS LIMAO 126g,6,2.99,"7622210573933",false,,images/product/25_HLA6TLGB92L5WYBADBYYFUE2D3PFB8DS.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
27,2025-10-10 12:29:33.435,2025-10-17 16:28:38.013,"7891098000156",CHA LEAO ERVA CIDREIRA 10 SAQ 10g,11,3.49,"7891098000156",false,,images/product/27_ZNDQNKKHQN83BMLXY8TCRLLJ94NEC6U2.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
702,2025-12-05 12:40:40.696,2025-12-05 12:40:44.917,"7891098041913",CHÁ VERDE LIMÃO LEÃO GARRAFA 450ML,11,4.59,"7891098041913",false,,images/product/702_62B4LT24UD6JPMJHKTZZEDTRSD9HUDC4.png,,false,0,,,,,Product,0,1,,2025-12-05 12:40:40.696,0,1,
232,2025-10-15 20:35:12.238,2026-03-02 13:15:57.771,"7891000248829","WAFER KITKAT DARK 41,5G",1,3.79,"7891000248829",false,,images/product/232_R3JJYVQX9TQ3SGHMWYGFQH8D8MR6WK6Y.png,,false,0,,,,,Product,0,1,,2025-10-15 20:35:12.238,1,24,
233,2025-10-15 20:37:35.871,2026-03-02 13:16:44.036,"7898142865037",TORTUGUITA AERADO,1,2.29,"7898142865037",false,,images/product/233_MTJ64LLB4H4FCYXV7PUJNAY5SB5SGTCY.png,,false,0,,,,,Product,0,1,,2025-10-15 20:37:35.871,1,20,
235,2025-10-15 20:41:33.461,2026-03-02 13:17:04.120,"78945456",TIC TAC DE LARANJA,1,2.4,"78945456",false,,images/product/235_Z22MHXLXUCED5SUN2LLWQ9UXDUVJ4AG4.png,,false,0,,,,,Product,0,1,,2025-10-15 20:41:33.461,1,14,
236,2025-10-15 20:42:54.838,2026-03-02 13:17:12.791,"78945449",TIC TAC MENTA,1,2.4,"78945449",false,,images/product/236_MRZSHP468PBD726C26Y9BBEFJTXCGAQU.png,,false,0,,,,,Product,0,1,,2025-10-15 20:42:54.838,1,14,
332,2025-10-17 16:11:07.733,2026-03-02 13:17:31.762,"7896423470994",TWIX 40G,9,4.49,"7896423470994",false,,images/product/332_U66J27TNZR6P56A598CLLFXCHTFV6ABC.png,,false,0,,,,,Product,0,1,,2025-10-17 16:11:07.733,1,30,
4,2025-10-10 12:29:33.435,2026-01-15 17:04:54.275,"7891515437015",SALAME SALAMITOS SADIA 36G,4,4.49,"7891515437015",false,,images/product/4_EDTNL2MJNXMCTQHJYZ4R373J8K936KXS.png,,false,0,,,"00000000",,Product,2,13,,2025-10-10 12:29:33.435,0,1,
833,2025-12-19 13:09:10.881,2025-12-19 13:16:50.483,"7892840823429",BATATA FRITA LISA FRANGO GRELHADO LAYS SENSAÇÕES PREMIUM PACOTE 70G,4,10.59,"7892840823429",false,,images/product/833_GYW5DFFMUBG9P7KPYD4GAATKKN8N7VK3.png,,false,0,,,,,Product,0,1,,2025-12-19 13:09:10.881,0,1,
834,2025-12-19 13:09:33.307,2025-12-19 13:16:54.150,"7892840823443",BATATA FRITA LISA PEITO DE PERU LAYS SENSAÇÕES PREMIUM PACOTE 70G,4,10.59,"7892840823443",false,,images/product/834_74BXKFDVSS2ZJJUM4ECZAWW8NAVUMU48.png,,false,0,,,,,Product,0,1,,2025-12-19 13:09:33.307,0,1,
299,2025-10-17 14:07:57.591,2025-11-04 13:04:05.707,"7891515549527",SALAME SALAMITOS SADIA SWEET CHILI 36G,4,0.01,"7891515549527",false,,images/product/299_PEWDAU8P3M6MMZGWCWVYWXDP7K48X42D.png,,false,0,,,,,Product,0,1,,2025-10-17 14:07:57.591,0,1,
364,2025-10-17 17:14:05.629,2025-11-01 18:59:26.497,"7622210569585",BOLACHA TRAKINAS DE CHOCOLATE 42G,6,1.25,"7622210569585",false,,images/product/364_JQ9VLXB5TQW6E7PV8NC8WJNG9SL2UH3T.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.629,0,1,
374,2025-10-17 17:14:05.661,2025-11-01 19:01:44.388,"7896306621680",CHOC TRENTO BITES 12X40G BCO/DARK,9,3.39,"7896306621680",false,,images/product/374_VZFHAKQGCGW7YFPFHYC2WS6T9T8TB66E.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.661,0,1,
395,2025-10-17 17:14:05.727,2025-10-17 17:14:05.727,_395_7898341430111,NECTAR DEL VALLE 1L LARANJA TP,15,5.59,"7898341430111",false,2025-11-07 01:26:28.647,,,false,0,"",,"",,Product,0,1,,2025-10-17 17:14:05.727,0,1,
398,2025-10-17 17:14:05.733,2025-10-17 17:14:05.733,_398_7898341430098,NECTAR DEL VALLE 1L UVA TP,15,5.59,"7898341430098",false,2025-11-07 01:26:30.481,,,false,0,"",,"",,Product,0,1,,2025-10-17 17:14:05.733,0,1,
397,2025-10-17 17:14:05.731,2025-10-17 17:14:05.731,_397_7898341430036,NECTAR DEL VALLE 1L PESSEGO TP,15,6.99,"7898341430036",false,2025-11-07 01:26:32.066,,,false,0,"",,"",,Product,0,1,,2025-10-17 17:14:05.731,0,1,
396,2025-10-17 17:14:05.729,2025-10-17 17:14:05.729,_396_7898341430074,NECTAR DEL VALLE 1L MAR TP,15,0.01,"7898341430074",false,2025-11-07 01:26:33.692,,,false,0,"",,"",,Product,0,1,,2025-10-17 17:14:05.729,0,1,
31,2025-10-10 12:29:33.435,2025-10-17 21:04:17.541,"7894900680508",REFRIG SPRITE 510ML LIMAO PET,10,3.49,"7894900680508",false,,images/product/31_L38UURLYEYTWBEVATR95P8ST39MRHDFP.png,,false,0,,,"00000000",,Product,2,6,,2025-10-10 12:29:33.435,0,1,
32,2025-10-10 12:29:33.435,2025-10-17 21:04:41.768,"7622210592781",BISC RECH TRAKINAS MOR 126g,6,2.99,"7622210592781",false,,images/product/32_EMXNL4SK3WMQWTT5LMZP8V4SJCHJYZZD.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
36,2025-10-10 12:29:33.435,2025-10-17 21:06:06.978,"7894900681017",SPRITE LIMAO LATA 350ML,10,3.79,"7894900681017",false,,images/product/36_7R44H5ZCYASJDMXLFS8X2CMWW4A42P2X.png,,false,0,,,"00000000",,Product,2,6,,2025-10-10 12:29:33.435,0,1,
368,2025-10-17 17:14:05.649,2026-03-02 13:21:40.846,"7622210534576",CHOC LACTA BIS XTRA BRANCO 45g,1,2.97,"7622210534576",false,,images/product/368_MQ39DULZS2FE749CV4UYXUAQQ8UZ9ABT.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.649,1,24,
372,2025-10-17 17:14:05.657,2026-03-02 13:22:00.553,"7622210564337",TRIDENT FRESH CEREJA X SENSE 8G,1,2.09,"7622210564337",false,,images/product/372_TCJTQVWUHC42Y77UHTWVQZWNFEC3R97E.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.657,1,21,
160,2025-10-10 12:29:33.435,2025-12-03 16:11:12.944,"7898080642899",BEB LACT ITALAC 250ML C/WHEY BAN TP,8,6.09,"7898080642899",false,,images/product/160_F4NG6XGS4NWVVYJTHF9LRKP5QU84KBZ3.png,,false,0,,,"00000000",,Product,1,12,,2025-10-10 12:29:33.435,0,1,
73,2025-10-10 12:29:33.435,2025-10-17 21:21:33.959,"7896114101619","7896114101619 - queijo ipanema mussarela 150g",,7.29,"7896114101619",false,,images/product/73_BLRASXH4WGVZ9ET3LLWLV34WYPTMWTCW.png,,false,0,,,,,Product,0,1,,2025-10-10 12:29:33.435,0,1,
